LAPORAN LAPORAN ANGGOTA;;;;;
;;;;;
no_anggota;nama;fraksi;dapil;jenis_kelamin;
172;Ir. RUDIANTO TJEN;Fraksi Partai Demokrasi Indonesia Perjuangan;KEPULAUAN BANGKA BELITUNG;L;
173;Mayjen. TNI (Purn.) STURMAN PANJAITAN, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;KEPULAUAN RIAU;L;
174;PUTRA NABABAN;Fraksi Partai Demokrasi Indonesia Perjuangan;DKI JAKARTA I;L;
175;ONCE MEKEL, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;DKI JAKARTA II;L;
176;CHARLES HONORIS;Fraksi Partai Demokrasi Indonesia Perjuangan;DKI JAKARTA III;L;
177;Prof. Dr. DARMADI DURIANTO;Fraksi Partai Demokrasi Indonesia Perjuangan;DKI JAKARTA III;L;
178;JUNICO B.P. SIAHAAN, S.E.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT I;L;
179;DENNY CAGUR, S.Pd.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT II;L;
180;H. MUHAMAD ABDUL AZIS SEFUDIN;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT III;L;
181;ADIAN Y.Y. NAPITUPULU, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT V;L;
182;SUKUR H NABABAN, S.T.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT VI;L;
183;Dr. RIEKE DIAH PITALOKA;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT VII;P;
184;Prof. Dr. Ir. H. ROKHMIN DAHURI, M.S.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT VIII;L;
185;SELLY ANDRIANY GANTINA, A.Md.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT VIII;P;
186;Dr. H. HASANUDDIN, S.E., M.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT IX;L;
187;Hj. IDA NURLAELA WIRADINATA;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT X;P;
188;DONY MARYADI OEKON, S.T.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA BARAT XI;L;
189;MOCHAMAD HERVIANO WIDYATAMA, S.Sos., M.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH I;L;
190;SAMUEL JD WATTIMENA;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH I;L;
191;Dr. H. MUSTHOFA, S.E., M.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH II;L;
192;GILANG DHIELAFARAREZ, S.H., LL.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH II;L;
193;H. HARYANTO, S.H., M.M., M.Si.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH III;L;
194;Dr. EVITA NURSANTY, M.Sc.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH III;P;
195;Dr. H. EDY WURYANTO, S.Kp., M.Kep.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH III;L;
196;Ir. BAMBANG WURYANTO, M.B.A.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH IV;L;
197;DOLFIE O.F.P., S.T.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH IV;L;
198;DIAH PIKATAN O. PUTRI HAPRANI;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH IV;P;
199;Dr. (H.C) PUAN MAHARANI;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH V;P;
200;ARIA BIMA;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH V;L;
201;H. DIDIK HARYADI, S.T., S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH V;L;
202;VITA ERVINA, S.E., M.B.A.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH VI;P;
203;SOFWAN DEDY ARDYANTO;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH VI;L;
204;Drs. UTUT ADIANTO;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH VII;L;
205;KAISAR KIASA KASIH SAID PUTRA;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH VIII;L;
206;ADISATRYA SURYO SULISTO;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH VIII;L;
207;SHANTY ALDA NATHALIA, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH IX;P;
208;Dr. Ir. HARRIS TURINO, S.T., S.H., M.Si., M.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH IX;L;
